"STAZIONE FS";"AEROPORTO";"CODICE IDENTIFICATIVO";"SALA CONFERENZE";"PARCHEGGIO";"PROVINCIA";"IMPIANTI RISALITA";"DENOMINAZIONE";"SITO WEB";"STELLE";"TERMALE";"ACCESSO AI DISABILI";"PERIFERIA";"FAX";"NUOVA CLASSIFICAZIONE LR11";"TELEFONO";"COLLINARE";"COMUNE";"NUMERO CIVICO";"INDIRIZZO";"SOLARIUM";"EMAIL";"ZONA FIERA";"LAGO";"SPAGNOLO";"INTERNO";"CAP";"AUTOSTRADA";"FITNESS";"GIOCHI BIMBI";"TIPOLOGIA SECONDARIA";"CATEGORIA";"SAUNA";"ZONA";"INGLESE";"ALTRI SERVIZI";"CENTRO STORICO";"ARIA CONDIZIONATA";"LOCALITA";"MARE";"ANIMALI AMMESSI";"PISCINA";"TEDESCO";"CHIUSURA TEMPORANEA";"RISTORANTE";"FRANCESE";"TIPOLOGIA";"PISCINA COPERTA";"DATA ULTIMA MODIFICA"
"Falso";"Falso";"97524";"Falso";"Falso";"VERONA";"Falso";"5 CINQUE";"www.cinquerooms.it";;"Falso";"Vero";"Falso";;"3 Leoni";"045597004 - 3666932750";"Falso";"VERONA";"3";"Piazzetta Portichetti";"Falso";"contact@cinquerooms.it";"Falso";"Falso";"Falso";;"37123";"Falso";"Falso";"Falso";;"1";"Falso";"verona";"Vero";;"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"14/02/2018"
"Falso";"Falso";"91360";"Falso";"Falso";"VERONA";"Falso";"5 ELEMENTI";"www.7vizi.eu";;"Falso";"Falso";"Falso";;;"340 3789271";"Vero";"LAZISE";"5";"Via Croce,";"Falso";"info@7vizi.eu";"Falso";"Vero";"Falso";;"37017";"Falso";"Falso";"Falso";;"3";"Falso";"garda";"Vero";;"Falso";"Vero";;"Falso";"Falso";"Falso";"Vero";"Falso";"Vero";"Falso";"AFFITTACAMERE";"Falso";"12/02/2018"
"Falso";"Falso";"210968";"Falso";"Falso";"VERONA";"Falso";"ABBRACCIO DI GIULIETTA & ROMEO";;;"Falso";"Falso";"Falso";;"3 Leoni";;"Falso";"VERONA";"37";"STRADONE PORTA PALIO";"Falso";"anton-94@hotmail.it";"Falso";"Falso";"Falso";;"37100";"Falso";"Falso";"Falso";;;"Falso";"verona";"Falso";;"Vero";"Vero";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"02/01/2018"
"Falso";"Falso";"53267";"Falso";"Vero";"VERONA";"Falso";"ACCOMODATION BY DUOMO VERONA";"bbbyduomo.splinder.com";;"Falso";"Vero";"Falso";"045/4853999";"2 Leoni";"348-5180496";"Falso";"VERONA";"7";"VIA CADREGA";"Falso";"bbfraccaroli@gmail.com";"Falso";"Falso";"Vero";;"37100";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";"lavanderia, baby sitter, dog sitter";"Vero";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"14/04/2017"
"Falso";"Falso";"57060";"Falso";"Vero";"VERONA";"Falso";"ACCOMODATION VERONA";"wwwadcentrumveronabedandbreakfast.com";;"Falso";"Vero";"Falso";"348/5180496";"2 Leoni";"348/5180496 - 045/800042";"Falso";"VERONA";"14";"Stradone Scipione Maffei";"Falso";"bbfraccaroli@gmail.com";"Falso";"Falso";"Vero";;"37121";"Falso";"Falso";"Falso";;"2";"Falso";"verona";"Vero";;"Vero";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Vero";"AFFITTACAMERE";"Falso";"14/04/2017"
"Falso";"Falso";"326";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE ALESSIO";"www.alessiocamere.it";;"Falso";"Falso";"Falso";"0457210698";"2 Leoni";"0457210698";"Falso";"BARDOLINO";"10/3";"Via Vasco de Gama";"Falso";"alessiocamere@alessiocamere.it";"Falso";"Vero";"Falso";;"37011";"Falso";"Falso";"Vero";;"2";"Falso";"garda";"Falso";"TV SATELLITARE APPARECCHIO TV IN SALA - FRIGO BAR";"Falso";"Vero";;"Falso";"Vero";"Falso";"Vero";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"03/04/2017"
"Falso";"Falso";"28305";"Falso";"Falso";"VERONA";"Falso";"AFFITTACAMERE A.M.";;;"Falso";"Falso";"Vero";;;"0458921869";"Falso";"VERONA";"74";"VIA UNITA' D'ITALIA";"Falso";"veronicamimmo@libero.it";"Falso";"Falso";"Falso";;"37132";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Falso";;"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"12/04/2016"
"Falso";"Falso";"481";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE BABY";"www.villaterri.it";;"Falso";"Falso";"Falso";"0458206077";"3 Leoni";"045509744";"Falso";"VERONA";"13/A";"Via delle Menegone";"Falso";"info@villaterri.it";"Vero";"Falso";"Falso";;"37134";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";"posti auto coperti - garages";"Falso";"Falso";;"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/02/2017"
"Falso";"Falso";"53270";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE BARBARA";"www.villaterri.it";;"Falso";"Vero";"Falso";"0458206077";"3 Leoni";"045509744";"Falso";"VERONA";"13/a";"Via Delle Menegone";"Falso";"info@villaterri.it";"Falso";"Falso";"Falso";;"37100";"Falso";"Falso";"Falso";;"3";"Falso";"verona";"Vero";;"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"13/02/2017"
"Falso";"Falso";"103822";"Falso";"Vero";"VERONA";"Falso";"AFFITTACAMERE BARDOLINO";;;"Falso";"Falso";"Vero";"045 6267916";;"0456267052 - 3497703571";"Vero";"BARDOLINO";"2";"VIA MONTEBALDO,";"Falso";"bebbardolino@yahoo.it";"Falso";"Vero";"Falso";;"37011";"Falso";"Falso";"Falso";;"2";"Falso";"garda";"Vero";;"Falso";"Vero";;"Falso";"Vero";"Falso";"Falso";"Falso";"Falso";"Falso";"AFFITTACAMERE";"Falso";"24/11/2014"
