"Sigla Provincia";"Denominazione Provincia";"Codice ISTAT Comune";"Denominazione Comune";"Gestore Edificio";"Edifici Attivo (SI-NO)";"Codice Edificio";"Codice Istituzione Scolastica";"Codice Plesso Scolastico";"Denominazione Plesso Scolastico";"Via Piazza";"Denominazione Strada";"Civico";"Tipologia Scuola";"Latitudine";"Longitudine";"Spazi Didattici";"Auditorium Aula Magna";"Mensa";"Palestra Piscina";"Spazi Amministrativi";"Proprietario Edificio"
"BL";"Belluno";"025001";"Agordo";"COMUNE";"SI";"0250010706";"BLIC828007";"BLIC828007";"IC - Aureliano Pertile";"Via";"F e L Cappello";"9";"ISTITUTO COMPRENSIVO";;;"1";"0";"1";"0";"1";"Societ� o persone private"
"BL";"Belluno";"025001";"Agordo";"COMUNE";"SI";"0250010707";"BLIC828007";"BLEE828019";"Primaria - Agordo";"Viale";"Sommariva";"15";"PRIMARIA";;;"1";"0";"1";"1";"0";"Comune"
"BL";"Belluno";"025001";"Agordo";"COMUNE";"SI";"0250010708";"BLIC828007";"BLIC828007";"IC - Aureliano Pertile";"Viale";"Sommariva";"31";"ISTITUTO COMPRENSIVO";;;"1";"0";"0";"0";"1";"Comune"
"BL";"Belluno";"025001";"Agordo";"COMUNE";"SI";"0250010708";"BLIC828007";"BLMM828018";"Sec. I - Aureliano Pertile";"Viale";"Sommariva";"31";"SECONDARIA PRIMO GRADO";;;"1";"0";"0";"0";"1";"Comune"
"BL";"Belluno";"025001";"Agordo";"COMUNE";"SI";"0250010709";"BLIC828007";"BLIC828007";"IC - Aureliano Pertile";"Viale";"Sommariva";"31";"ISTITUTO COMPRENSIVO";;;"1";"0";"0";"1";"0";"Comune"
"BL";"Belluno";"025001";"Agordo";"COMUNE";"SI";"0250010709";"BLIC828007";"BLMM828018";"Sec. I - Aureliano Pertile";"Viale";"Sommariva";"31";"SECONDARIA PRIMO GRADO";;;"1";"0";"0";"1";"0";"Comune"
"BL";"Belluno";"025001";"Agordo";"PROVINCIA-CITTA_METROPOLITANA";"NO";"0250013979";;;;"Via";"CINQUE MAGGIO";"16";;;;"1";"0";"0";"0";"0";"Stato"
"BL";"Belluno";"025001";"Agordo";"PROVINCIA-CITTA_METROPOLITANA";"NO";"0250013981";;;;"Via";"MOLIN DEI COT";"9";;;;"1";"0";"0";"0";"0";"Comune"
"BL";"Belluno";"025001";"Agordo";"PROVINCIA-CITTA_METROPOLITANA";"NO";"0250013985";;;;"Viale";"Sommariva";"35";;;;"1";"0";"0";"0";"0";"Provincia"
"BL";"Belluno";"025001";"Agordo";"PROVINCIA-CITTA_METROPOLITANA";"SI";"0250010710";"BLIS00600E";"BLRI006016";"IPIA - Umberto Follador";"Viale";"Sommariva";"35";"SECONDARIA SECONDO GRADO";;;"1";"0";"0";"0";"0";"Comune"
