lat;long;nome_via;
454.621.490.324.913;919.357.713.616.389;VIA LARGA;
45.467.629.357.113;917.760.367.245.734;PIAZZALE LUIGI CADORNA;
454.844.835.706.687;920.490.805.319.666;PIAZZA DUCA D'AOSTA;
454.842.765.276.858;923.541.763.461.848;VIA PACINI GIOVANNI;
45.437.301.971.912;916.916.994.362.816;VIALE FAMAGOSTA;
454.592.234.422.341;919.284.390.459.348;LARGO FRANCESCO RICHINI;
454.633.000.930.932;917.751.245.902.057;VIA SANTA VALERIA;
454.673.525.978.868;920.373.148.951.774;CORSO MONFORTE;
45.468.364.867.932;917.404.513.505.665;VIA METASTASIO;
454.769.937.197.823;919.832.077.590.361;VIA DANIELE MANIN;
454.669.652.505.341;919.163.895.056.757;LARGO RAFFAELE MATTIOLI;
454.619.270.367.049;920.038.291.992.955;VIA FREGUGLIA CARLO;
454.619.270.367.049;920.038.291.992.955;VIA FREGUGLIA CARLO;
454.644.608.417.621;918.445.818.622.094;PIAZZA EDISON TOMMASO ;
454.654.584.216.266;918.079.527.779.132;VIA SANTA MARIA ALLA PORTA;
454.893.716.198.754;919.302.595.669.554;VIA TARAMELLI TORQUATO;
454.793.915.365.607;922.634.197.053.648;PIAZZA LEONARDO DA VINCI;
454.683.035.908.343;921.549.458.794.398;CORSO INDIPENDENZA;
454.842.321.329.447;923.528.995.608.771;VIA PACINI GIOVANNI;
454.479.438.737.278;920.947.625.712.008;CORSO LODI;
454.482.430.551.292;918.827.353.746.232;VIA SARFATTI ROBERTO;
454.528.026.026.317;916.454.276.305.624;VIA BERGOGNONE;
454.537.810.629.152;91.706.011.634.287;CORSO CRISTOFORO COLOMBO;
454.561.651.061.866;917.368.920.066.578;PIAZZALE ANTONIO CANTORE;
454.679.424.935.474;916.028.753.268.555;VIA DEL BURCHIELLO;
454.779.248.509.335;91.604.512.999.911;PIAZZA SEI FEBBRAIO;
454.749.198.056.338;915.152.088.038.124;VIALE BERENGARIO;
455.043.665.956.518;9.164.146.471.965;VIA DURANDO GIOVANNI ;
454.857.243.206.468;919.628.857.780.084;VIA GIOIA MELCHIORRE;
455.124.369.134.285;921.330.784.596.253;PIAZZALE EGEO;
454.521.406.317.237;918.168.167.627.251;VIALE COL DI LANA;
45.447.837.992.559;91.907.444.192.244;VIA BOCCONI FERDINANDO;
454.336.920.988.026;923.767.014.070.014;VIA CASSINIS GIOVANNI BATTISTA;
45.451.342.057.782;920.379.091.881.991;CORSO LODI;
454.556.563.353.872;917.293.471.486.068;PIAZZALE ANTONIO CANTORE;
454.395.421.421.532;922.270.801.524.904;VIA SILE;
454.434.794.933.713;918.553.922.297.268;PIAZZA CADUTI DEL LAVORO;
454.553.005.608.116;922.034.226.183.595;VIA CICERI VISCONTI LAURA;
454.836.453.973.264;914.535.265.292.101;VIA ALGARDI ALESSANDRO;
454.431.341.858.918;922.047.022.019.666;VIALE BACCHIGLIONE;
45.472.645.734.693;920.053.462.723.581;VIA PALESTRO;
454.704.867.420.259;918.444.022.513.425;VIA ARCO;
454.997.494.327.874;920.967.741.632.054;VIA SAN RAFAEL DELLE ANDE;
454.908.042.586.987;920.760.744.136.245;VIA SAMMARTINI GIOVANNI BATTISTA;
45.479.865.267.431;922.311.298.476.399;PIAZZALE GABRIO PIOLA;
454.547.173.110.668;920.566.375.680.325;VIA BOTTA CARLO;
454.438.687.893.902;92.055.470.138.036;VIA OROBIA;
454.484.048.197.438;912.416.180.090.202;VIA VAL BAVONA;
45.453.837.544.854;9.152.529.687.557;PIAZZA NAPOLI;
454.857.403.763.008;916.066.568.177.241;VIA F.LLI SALVIONI;
454.825.802.028.036;918.967.166.510.033;VIA VIGANO' FRANCESCO;
455.209.004.739.644;921.421.179.962.212;VIALE PIRELLI PIERO ALBERTO;
454.626.172.199.336;919.064.692.438.884;VIA RASTRELLI;
454.692.289.971.431;918.519.617.685.508;VIA PONTE VETERO;
454.907.432.510.757;923.680.308.494.021;PIAZZALE UDINE;
45.485.083.941.163;919.814.479.158.176;VIA CORNALIA EMILIO;
45.477.596.201.226;918.500.299.987.841;VIA DELLA MOSCOVA;
454.595.881.074.226;916.783.270.214.623;VIALE PAPINIANO;
454.601.071.057.159;918.079.008.710.115;VIA CORRENTI CESARE;
454.841.143.018.014;92.006.224.122.266;VIA PIRELLI GIOVANNI BATTISTA;
454.867.809.163.886;920.161.617.375.906;VIA TARRA GIULIO;
455.012.203.512.227;919.851.672.786.488;PIAZZALE ISTRIA;
454.933.882.584.544;919.671.941.280.064;VIA MARTIGNONI ADELE;
45.479.294.692.534;920.129.419.173.525;VIALE TUNISIA;
454.845.785.038.225;92.062.402.709.769;VIA SCARLATTI DOMENICO;
454.886.905.906.978;921.027.667.413.444;VIA SOPERGA;
454.866.734.517.656;921.527.989.483.866;VIALE BRIANZA;
454.928.486.596.312;921.615.929.163.894;VIA OXILIA NINO;
454.914.701.369.774;922.296.380.757.141;VIA GIACOSA GIUSEPPE;
455.010.537.594.212;922.147.570.144.721;VIA DELLA TORRE;
454.698.140.569.358;916.197.924.107.638;VIA ALBERTO DA GIUSSANO;
454.750.543.951.368;918.844.823.173.087;VIA SAN MARCO;
454.588.127.481.421;918.409.982.554.149;PIAZZA QUASIMODO SALVATORE;
454.718.436.714.928;918.319.445.578.912;VIA TIVOLI;
454.768.806.011.533;918.612.214.814.892;VIA LOVANIO;
454.776.694.686.011;919.547.841.734.976;PIAZZA DELLA REPUBBLICA;
454.792.213.822.404;920.145.492.882.807;VIALE TUNISIA;
454.865.436.597.127;920.699.639.154.412;PIAZZA DI SAVOIA LUIGI;
454.847.927.758.193;92.145.599.542.051;VIA PIERLUIGI GIOVANNI DA PALESTRINA;
45.480.375.288.418;921.505.627.754.977;PIAZZALE BACONE;
454.606.653.012.032;922.010.656.126.542;VIA CENA GIOVANNI;
45.446.910.615.319;920.397.693.299.743;PIAZZA TRENTO;
454.309.480.924.723;919.952.917.997.623;VIA NOTO;
454.326.866.963.328;915.779.755.170.067;VIA DI RUDINI' ANTONIO;
454.521.189.388.768;916.022.441.912.933;VIA STENDHAL ENRICO;
454.500.632.980.483;917.264.605.494.632;PIAZZA ARCOLE;
454.672.737.424.016;915.334.701.209.646;VIA MARGHERA;
454.669.363.796.722;914.568.341.920.794;VIA RUBENS;
454.750.911.471.975;912.859.647.957.343;VIA CIVITALI MATTEO;
455.079.148.184.989;913.901.692.541.641;VIA CONFALONIERI GIULIO;
45.477.749.764.785;916.261.104.114.488;VIA NIEVO IPPOLITO;
454.965.985.946.768;91.741.501.161.922;VIALE JENNER EDOARDO;
454.824.216.225.314;918.634.732.177.231;VIA DI TOCQUEVILLE ALESSIO;
455.072.517.341.176;919.819.611.452.847;VIALE GIOVANNI SUZZANI;
455.081.623.085.386;919.203.049.714.587;VIA GATTI FRANCESCO;
455.174.025.637.648;920.651.263.106.266;VIALE TESTI FULVIO;
455.130.692.274.468;920.999.255.201.008;VIALE PIRELLI PIERO ALBERTO;
454.887.449.012.149;918.740.262.283.023;VIA POLLAIUOLO ANTONIO;
455.094.939.685.485;919.019.214.574.042;PIAZZA DELL'OSPEDALE MAGGIORE;
454.480.367.495.468;920.857.966.890.648;CORSO LODI;
454.434.597.276.485;919.732.287.559.529;VIA PIETRASANTA;
454.426.983.338.661;916.259.474.010.155;VIA CALINDRI ERNESTO;
454.564.264.573.651;917.963.379.354.786;VIA ARENA;
454.554.430.731.524;919.189.364.217.952;VIA MERCALLI GIUSEPPE;
45.457.702.969.074;918.770.063.274.657;CORSO ITALIA;
45.463.662.573.688;918.365.170.944.267;VIA SANTA MARIA FULCORINA;
455.011.458.939.269;916.666.852.348.748;VIA DEGLI IMBRIANI;
454.761.237.485.997;921.552.399.918.522;VIA MAIOCCHI ACHILLE ;
454.770.456.610.886;923.132.212.021.288;VIA CELORIA GIOVANNI;
454.833.598.610.961;921.473.145.234.229;VIA MONTEVERDI CLAUDIO;
454.797.171.273.212;924.576.789.212.307;VIA PITTERI RICCARDO;
454.703.799.435.561;920.130.511.408.012;VIA SERBELLONI GABRIO;
454.608.718.538.976;92.108.971.574.025;VIA BEZZECCA;
454.702.530.315.359;926.176.017.927.472;VIA CORELLI ARCANGELO;
454.439.245.644.657;920.202.548.662.596;VIA LORENZINI GIOVANNI;
454.542.370.240.031;919.493.169.813.868;VIA QUADRONNO;
454.424.851.257.638;919.875.353.199.482;VIA BUZZI VITTORE;
454.405.014.088.572;922.348.478.809.926;CORSO LODI;
454.494.223.838.908;922.091.641.220.416;VIA CADOLINI GIOVANNI;
454.484.662.269.878;922.381.991.675.679;VIALE PUGLIE;
454.366.853.886.324;919.893.697.461.364;VIA SOLAROLI PAOLO;
454.540.063.356.585;916.330.178.125.329;VIA SAVONA;
455.184.674.506.614;922.317.530.472.312;VIA BRUNICO;
454.555.856.013.423;915.778.776.822.568;VIA STENDHAL ENRICO;
454.372.770.951.822;918.387.307.871.028;VIALE GIOVANNI DA CERMENATE;
454.450.454.448.482;917.431.050.170.726;VIA LECCHI ANTONIO;
454.446.106.304.026;916.231.884.691.589;VIA SCHIEVANO ENRICO;
454.453.147.330.849;916.739.391.373.893;VIALE ROMOLO;
454.443.025.856.004;915.502.316.461.871;VIA BINDA AMBROGIO;
454.328.754.820.258;917.421.499.032.243;VIA NEERA;
454.369.647.233.168;915.788.923.024.834;VIALE FAMAGOSTA;
454.329.681.415.397;916.209.679.199.227;VIA SAN VIGILIO;
