STAZIONE FS;AEROPORTO;CODICE IDENTIFICATIVO;SALA CONFERENZE;PARCHEGGIO;PROVINCIA;IMPIANTI RISALITA;DENOMINAZIONE;SITO WEB;STELLE;TERMALE;ACCESSO AI DISABILI;PERIFERIA;FAX;NUOVA CLASSIFICAZIONE LR11;TELEFONO;COLLINARE;COMUNE;NUMERO CIVICO;INDIRIZZO;SOLARIUM;EMAIL;ZONA FIERA;LAGO;SPAGNOLO;INTERNO;CAP;AUTOSTRADA;FITNESS;GIOCHI BIMBI;TIPOLOGIA SECONDARIA;CATEGORIA;SAUNA;ZONA;INGLESE;ALTRI SERVIZI;CENTRO STORICO;ARIA CONDIZIONATA;LOCALITA;MARE;ANIMALI AMMESSI;PISCINA;TEDESCO;CHIUSURA TEMPORANEA;RISTORANTE;FRANCESE;TIPOLOGIA;PISCINA COPERTA;DATA ULTIMA MODIFICA
FALSO;FALSO;97524;FALSO;FALSO;VERONA;FALSO;5 CINQUE;www.cinquerooms.it;;FALSO;VERO;FALSO;;3 Leoni;045597004 - 3666932750;FALSO;VERONA;3;Piazzetta Portichetti;FALSO;contact@cinquerooms.it;FALSO;FALSO;FALSO;;37123;FALSO;FALSO;FALSO;;1;FALSO;verona;VERO;;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;14/02/2018
FALSO;FALSO;91360;FALSO;FALSO;VERONA;FALSO;5 ELEMENTI;www.7vizi.eu;;FALSO;FALSO;FALSO;;;340 3789271;VERO;LAZISE;5;Via Croce,;FALSO;info@7vizi.eu;FALSO;VERO;FALSO;;37017;FALSO;FALSO;FALSO;;3;FALSO;garda;VERO;;FALSO;VERO;;FALSO;FALSO;FALSO;VERO;FALSO;VERO;FALSO;AFFITTACAMERE;FALSO;12/02/2018
FALSO;FALSO;210968;FALSO;FALSO;VERONA;FALSO;ABBRACCIO DI GIULIETTA & ROMEO;;;FALSO;FALSO;FALSO;;3 Leoni;;FALSO;VERONA;37;STRADONE PORTA PALIO;FALSO;anton-94@hotmail.it;FALSO;FALSO;FALSO;;37100;FALSO;FALSO;FALSO;;;FALSO;verona;FALSO;;VERO;VERO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;02/01/2018
FALSO;FALSO;53267;FALSO;VERO;VERONA;FALSO;ACCOMODATION BY DUOMO VERONA;bbbyduomo.splinder.com;;FALSO;VERO;FALSO;045/4853999;2 Leoni;348-5180496;FALSO;VERONA;7;VIA CADREGA;FALSO;bbfraccaroli@gmail.com;FALSO;FALSO;VERO;;37100;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;lavanderia, baby sitter, dog sitter;VERO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;14/04/2017
FALSO;FALSO;57060;FALSO;VERO;VERONA;FALSO;ACCOMODATION VERONA;wwwadcentrumveronabedandbreakfast.com;;FALSO;VERO;FALSO;348/5180496;2 Leoni;348/5180496 - 045/800042;FALSO;VERONA;14;Stradone Scipione Maffei;FALSO;bbfraccaroli@gmail.com;FALSO;FALSO;VERO;;37121;FALSO;FALSO;FALSO;;2;FALSO;verona;VERO;;VERO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;VERO;AFFITTACAMERE;FALSO;14/04/2017
FALSO;FALSO;326;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE ALESSIO;www.alessiocamere.it;;FALSO;FALSO;FALSO;457210698;2 Leoni;457210698;FALSO;BARDOLINO;10/3;Via Vasco de Gama;FALSO;alessiocamere@alessiocamere.it;FALSO;VERO;FALSO;;37011;FALSO;FALSO;VERO;;2;FALSO;garda;FALSO;TV SATELLITARE APPARECCHIO TV IN SALA - FRIGO BAR;FALSO;VERO;;FALSO;VERO;FALSO;VERO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;03/04/2017
FALSO;FALSO;28305;FALSO;FALSO;VERONA;FALSO;AFFITTACAMERE A.M.;;;FALSO;FALSO;VERO;;;458921869;FALSO;VERONA;74;VIA UNITA' D'ITALIA;FALSO;veronicamimmo@libero.it;FALSO;FALSO;FALSO;;37132;FALSO;FALSO;FALSO;;3;FALSO;verona;FALSO;;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;12/04/2016
FALSO;FALSO;481;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE BABY;www.villaterri.it;;FALSO;FALSO;FALSO;458206077;3 Leoni;45509744;FALSO;VERONA;13/A;Via delle Menegone;FALSO;info@villaterri.it;VERO;FALSO;FALSO;;37134;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;posti auto coperti - garages;FALSO;FALSO;;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/02/2017
FALSO;FALSO;53270;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE BARBARA;www.villaterri.it;;FALSO;VERO;FALSO;458206077;3 Leoni;45509744;FALSO;VERONA;13/a;Via Delle Menegone;FALSO;info@villaterri.it;FALSO;FALSO;FALSO;;37100;FALSO;FALSO;FALSO;;3;FALSO;verona;VERO;;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;13/02/2017
FALSO;FALSO;103822;FALSO;VERO;VERONA;FALSO;AFFITTACAMERE BARDOLINO;;;FALSO;FALSO;VERO;045 6267916;;0456267052 - 3497703571;VERO;BARDOLINO;2;VIA MONTEBALDO,;FALSO;bebbardolino@yahoo.it;FALSO;VERO;FALSO;;37011;FALSO;FALSO;FALSO;;2;FALSO;garda;VERO;;FALSO;VERO;;FALSO;VERO;FALSO;FALSO;FALSO;FALSO;FALSO;AFFITTACAMERE;FALSO;24/11/2014
